TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2023,3,30,1,0,10XX HARWOOD ST,West End,490397.5287,5458375.2264
Break and Enter Commercial,2023,10,27,13,15,10XX HARWOOD ST,West End,490397.5287,5458375.2264
Break and Enter Commercial,2023,10,6,2,0,10XX HOMER ST,Central Business District,491198.5704,5458233.8344
Break and Enter Commercial,2023,10,20,21,10,10XX HOMER ST,Central Business District,491249.259,5458272.4309
Break and Enter Commercial,2023,1,29,7,20,10XX HOMER ST,Central Business District,491255.8833,5458279.1811
Break and Enter Commercial,2023,4,6,22,59,10XX HORNBY ST,Central Business District,490833.289,5458565.0539
Break and Enter Commercial,2023,7,5,19,0,10XX HORNBY ST,Central Business District,490837.7786,5458569.647
Break and Enter Commercial,2023,5,29,4,38,10XX HOWE ST,Central Business District,490954.4909,5458562.2581
Break and Enter Commercial,2023,12,4,19,0,10XX JERVIS ST,West End,490412.2089,5459133.6754
Break and Enter Commercial,2023,12,5,2,0,10XX JERVIS ST,West End,490412.2089,5459133.6754
Break and Enter Commercial,2023,9,19,3,31,10XX KINGSWAY AVE,Kensington-Cedar Cottage,493950.4703,5455654.1257
Break and Enter Commercial,2023,12,26,2,27,10XX KINGSWAY AVE,Kensington-Cedar Cottage,494036.9169,5455580.6261
Break and Enter Commercial,2023,3,29,6,4,10XX MAINLAND ST,Central Business District,491255.1482,5458126.906
Break and Enter Commercial,2023,8,9,5,42,10XX MAINLAND ST,Central Business District,491255.1482,5458126.906
Break and Enter Commercial,2023,3,4,6,30,10XX MAINLAND ST,Central Business District,491281.223,5458140.7753
Break and Enter Commercial,2023,5,17,8,18,10XX MARINASIDE CRES,Central Business District,491444.9933,5457868.5222
Break and Enter Commercial,2023,7,15,0,0,10XX NELSON ST,West End,490727.6908,5458821.2102
Break and Enter Commercial,2023,3,20,23,56,10XX PACIFIC ST,West End,490284.2663,5458343.1703
Break and Enter Commercial,2023,12,4,0,48,10XX PACIFIC ST,West End,490284.2663,5458343.1703
Break and Enter Commercial,2023,4,15,6,24,10XX PACIFIC ST,West End,490285.016,5458342.4257
Break and Enter Commercial,2023,5,5,4,15,10XX PACIFIC ST,West End,490285.016,5458342.4257
Break and Enter Commercial,2023,1,12,2,28,10XX PACIFIC ST,West End,490352.2816,5458275.7563
Break and Enter Commercial,2023,2,2,14,1,10XX PACIFIC ST,West End,490352.2816,5458275.7563
Break and Enter Commercial,2023,2,13,20,41,10XX PACIFIC ST,West End,490352.2816,5458275.7563
Break and Enter Commercial,2023,10,10,7,32,10XX PACIFIC ST,West End,490352.2816,5458275.7563
Break and Enter Commercial,2023,12,1,20,0,10XX PACIFIC ST,West End,490352.2816,5458275.7563
Break and Enter Commercial,2023,9,29,8,38,10XX QUEBEC ST,Central Business District,492586.9351,5458039.3939
Break and Enter Commercial,2023,8,16,4,30,10XX RICHARDS ST,Central Business District,491095.6451,5458261.3657
Break and Enter Commercial,2023,8,9,23,0,10XX RICHARDS ST,Central Business District,491181.9337,5458347.7606
Break and Enter Commercial,2023,8,15,8,44,10XX RICHARDS ST,Central Business District,491181.9337,5458347.7606
Break and Enter Commercial,2023,1,19,7,0,10XX ROBSON ST,West End,490945.1763,5459083.5729
Break and Enter Commercial,2023,7,26,6,27,10XX ROBSON ST,West End,490949.1698,5459066.7704
Break and Enter Commercial,2023,11,13,5,24,10XX ROBSON ST,West End,490949.1698,5459066.7704
Break and Enter Commercial,2023,9,15,3,30,10XX ROBSON ST,West End,491022.0625,5459007.594
Break and Enter Commercial,2023,12,9,18,0,10XX ROBSON ST,West End,491032.721,5458984.2058
Break and Enter Commercial,2023,9,13,5,57,10XX ROBSON ST,West End,491055.5021,5458961.6935
Break and Enter Commercial,2023,3,15,5,6,10XX ROBSON ST,West End,491067.6246,5458962.5695
Break and Enter Commercial,2023,10,16,0,0,10XX SE MARINE DR,Sunset,493873.1291,5450918.867
Break and Enter Commercial,2023,12,11,11,34,10XX SE MARINE DR,Sunset,493873.1291,5450918.867
Break and Enter Commercial,2023,12,29,0,0,10XX SEMLIN DR,Grandview-Woodland,495361.4044,5458037.0436
Break and Enter Commercial,2023,9,25,10,53,10XX SMITHE ST,West End,490881.2311,5458957.2538
Break and Enter Commercial,2023,8,14,4,0,10XX STATION ST,Strathcona,492837.9336,5458068.253
Break and Enter Commercial,2023,9,29,0,0,10XX STATION ST,Strathcona,492837.9336,5458068.253
Break and Enter Commercial,2023,10,19,10,20,10XX STATION ST,Strathcona,492837.9336,5458068.253
Break and Enter Commercial,2023,10,26,18,0,10XX STATION ST,Strathcona,492837.9336,5458068.253
Break and Enter Commercial,2023,10,28,6,43,10XX STATION ST,Strathcona,492837.9336,5458068.253
Break and Enter Commercial,2023,1,18,6,22,10XX SW MARINE DR,Marpole,490456.8022,5450205.0179
Break and Enter Commercial,2023,3,1,18,0,10XX W 47TH AVE,Oakridge,490632.5166,5452851.6522
Break and Enter Commercial,2023,7,10,16,16,10XX W GEORGIA ST,Central Business District,491087.1035,5459191.5547
Break and Enter Commercial,2023,3,23,5,38,10XX W GEORGIA ST,Central Business District,491115.4503,5459163.4771
Break and Enter Commercial,2023,3,31,4,9,10XX W GEORGIA ST,Central Business District,491115.4503,5459163.4771
Break and Enter Commercial,2023,6,4,5,42,10XX W HASTINGS ST,Central Business District,491359.0894,5459440.1619
Break and Enter Commercial,2023,2,1,20,6,10XX W HASTINGS ST,Central Business District,491385.9008,5459438.5889
Break and Enter Commercial,2023,5,31,17,40,10XX W HASTINGS ST,Central Business District,491451.6338,5459410.3303
Break and Enter Commercial,2023,3,14,9,4,10XX W KING EDWARD AVE,Shaughnessy,490673.4709,5455186.9638
Break and Enter Commercial,2023,6,17,20,58,10XX W PENDER ST,Central Business District,491258.4981,5459410.0689
Break and Enter Commercial,2023,10,25,5,37,10XX W PENDER ST,Central Business District,491263.9592,5459407.5907
Break and Enter Commercial,2023,9,7,13,20,10XX W PENDER ST,Central Business District,491351.6216,5459364.4865
Break and Enter Commercial,2023,4,13,0,50,11XX ALBERNI ST,West End,490900.8588,5459278.1671
Break and Enter Commercial,2023,9,17,4,50,11XX ALBERNI ST,West End,491001.9697,5459192.9578
Break and Enter Commercial,2023,11,23,1,57,11XX BARCLAY ST,West End,490751.7991,5458971.3788
Break and Enter Commercial,2023,3,23,5,20,11XX BEACH AVE,West End,490085.9345,5458429.7442
Break and Enter Commercial,2023,10,5,2,0,11XX BIDWELL ST,West End,489818.4742,5459297.0064
Break and Enter Commercial,2023,12,21,4,7,11XX BIDWELL ST,West End,489821.5559,5459300.1997
Break and Enter Commercial,2023,9,6,15,23,11XX BROUGHTON ST,West End,490120.4144,5459031.0221
Break and Enter Commercial,2023,9,22,16,30,11XX BURNABY ST,West End,490237.9535,5458687.5509
Break and Enter Commercial,2023,12,4,2,31,11XX BURNABY ST,West End,490237.9535,5458687.5509
Break and Enter Commercial,2023,8,9,9,50,11XX BURNABY ST,West End,490296.5923,5458630.1312
Break and Enter Commercial,2023,8,12,6,0,11XX BURRARD ST,Central Business District,490718.6878,5458598.0078
Break and Enter Commercial,2023,11,9,13,24,11XX CARDERO ST,West End,489942.1379,5459205.4781
Break and Enter Commercial,2023,2,10,19,2,11XX COMMERCIAL DR,Grandview-Woodland,494936.2627,5457968.3895
Break and Enter Commercial,2023,1,25,3,45,11XX COMMERCIAL DR,Grandview-Woodland,494945.3438,5457962.4562
Break and Enter Commercial,2023,1,27,0,48,11XX COMMERCIAL DR,Grandview-Woodland,494945.51,5457978.0178
Break and Enter Commercial,2023,2,13,1,31,11XX COMMERCIAL DR,Grandview-Woodland,494945.51,5457978.0178
Break and Enter Commercial,2023,3,2,19,30,11XX DAVIE ST,West End,490443.5988,5458653.6192
Break and Enter Commercial,2023,1,29,22,0,11XX DENMAN ST,West End,489715.3524,5459422.986
Break and Enter Commercial,2023,11,26,7,40,11XX DENMAN ST,West End,489786.1324,5459493.8933
Break and Enter Commercial,2023,7,2,5,59,11XX DENMAN ST,West End,489795.5306,5459503.4202
Break and Enter Commercial,2023,9,29,17,0,11XX E GEORGIA ST,Strathcona,494116.6686,5458385.1489
Break and Enter Commercial,2023,11,15,22,53,11XX E GEORGIA ST,Strathcona,494131.3232,5458384.7868
Break and Enter Commercial,2023,12,29,18,46,11XX E GEORGIA ST,Strathcona,494131.3232,5458384.7868
Break and Enter Commercial,2023,2,12,14,10,11XX E HASTINGS ST,Strathcona,494133.7602,5458699.1251
Break and Enter Commercial,2023,7,9,0,26,11XX E HASTINGS ST,Strathcona,494216.5656,5458696.5322
Break and Enter Commercial,2023,4,26,4,43,11XX GRANT ST,Strathcona,494237.7827,5457645.9943
Break and Enter Commercial,2023,6,1,4,32,11XX GRANT ST,Strathcona,494274.1694,5457645.8023
Break and Enter Commercial,2023,9,17,6,38,11XX GRANVILLE ST,Central Business District,490850.3578,5458309.8273
Break and Enter Commercial,2023,3,10,0,44,11XX GRANVILLE ST,Central Business District,490854.7915,5458314.2845
Break and Enter Commercial,2023,11,11,6,24,11XX GRANVILLE ST,Central Business District,490881.3933,5458341.0275
Break and Enter Commercial,2023,9,27,8,0,11XX GRANVILLE ST,Central Business District,490912.4289,5458372.2277
Break and Enter Commercial,2023,3,8,5,51,11XX GRANVILLE ST,Central Business District,490925.7298,5458385.5992
Break and Enter Commercial,2023,1,2,19,0,11XX HAMILTON ST,Central Business District,491097.2073,5458033.3087
Break and Enter Commercial,2023,1,4,13,28,11XX HAMILTON ST,Central Business District,491097.2073,5458033.3087
Break and Enter Commercial,2023,7,5,11,39,11XX HAMILTON ST,Central Business District,491117.6655,5458053.883
Break and Enter Commercial,2023,8,15,11,41,11XX HAMILTON ST,Central Business District,491117.6655,5458053.883
Break and Enter Commercial,2023,4,24,4,28,11XX HAMILTON ST,Central Business District,491165.4836,5458114.9404
Break and Enter Commercial,2023,12,30,0,0,11XX HARWOOD ST,West End,490252.9624,5458533.8334
Break and Enter Commercial,2023,2,23,5,15,11XX HOMER ST,Central Business District,491089.4245,5458124.004
Break and Enter Commercial,2023,1,2,3,17,11XX HOMER ST,Central Business District,491107.3085,5458141.7926
Break and Enter Commercial,2023,2,21,6,47,11XX HOMER ST,Central Business District,491107.3085,5458141.7926
Break and Enter Commercial,2023,9,29,8,52,11XX HORNBY ST,Central Business District,490751.6156,5458494.0611
Break and Enter Commercial,2023,9,29,10,20,11XX HORNBY ST,Central Business District,490751.6156,5458494.0611
Break and Enter Commercial,2023,11,12,8,16,11XX HORNBY ST,Central Business District,490790.5915,5458521.2957
Break and Enter Commercial,2023,3,13,3,19,11XX HOWE ST,Central Business District,490766.2424,5458357.6914
Break and Enter Commercial,2023,5,30,5,45,11XX HOWE ST,Central Business District,490775.0164,5458366.5794
Break and Enter Commercial,2023,11,8,9,0,11XX JERVIS ST,West End,490211.7551,5458935.6781
Break and Enter Commercial,2023,8,11,3,8,11XX JERVIS ST,West End,490237.3427,5458949.2599
Break and Enter Commercial,2023,3,14,19,0,11XX KINGSWAY AVE,Kensington-Cedar Cottage,494165.7394,5455488.7734
Break and Enter Commercial,2023,3,28,21,0,11XX MAIN ST,Central Business District,492720.2567,5457977.1068
Break and Enter Commercial,2023,5,20,3,37,11XX MAIN ST,Central Business District,492721.5119,5458013.1693
Break and Enter Commercial,2023,4,14,4,39,11XX MAINLAND ST,Central Business District,491215.3721,5458086.3376
Break and Enter Commercial,2023,3,15,20,14,11XX MELVILLE ST,Central Business District,491019.485,5459408.0579
Break and Enter Commercial,2023,10,12,1,0,11XX MELVILLE ST,Central Business District,491019.485,5459408.0579
Break and Enter Commercial,2023,6,17,5,30,11XX NELSON ST,West End,490602.4947,5458958.641
Break and Enter Commercial,2023,2,28,7,20,11XX PACIFIC BLVD,Central Business District,491193.9976,5457950.5694
Break and Enter Commercial,2023,9,12,3,30,11XX PACIFIC BLVD,Central Business District,491227.4012,5457964.3101
Break and Enter Commercial,2023,7,25,11,38,11XX PACIFIC ST,West End,490140.6207,5458486.5115
Break and Enter Commercial,2023,3,8,4,0,11XX PACIFIC ST,West End,490205.8962,5458408.09
Break and Enter Commercial,2023,2,23,7,30,11XX PACIFIC ST,West End,490221.3405,5458405.5505
Break and Enter Commercial,2023,5,26,7,6,11XX PACIFIC ST,West End,490221.3405,5458405.5505
Break and Enter Commercial,2023,7,2,22,0,11XX PACIFIC ST,West End,490221.3405,5458405.5505
Break and Enter Commercial,2023,9,10,0,50,11XX PENDRELL ST,West End,490467.5475,5458773.5029
Break and Enter Commercial,2023,9,10,1,0,11XX PENDRELL ST,West End,490467.5475,5458773.5029
Break and Enter Commercial,2023,8,21,0,0,11XX PENDRELL ST,West End,490468.1037,5458772.9459
Break and Enter Commercial,2023,3,30,23,0,11XX QUEBEC ST,Central Business District,492609.2795,5457958.9958
Break and Enter Commercial,2023,3,1,3,19,11XX RICHARDS ST,Central Business District,491045.4768,5458211.0027
Break and Enter Commercial,2023,6,16,0,0,11XX RICHARDS ST,Central Business District,491060.0307,5458238.5924
Break and Enter Commercial,2023,6,30,4,8,11XX ROBSON ST,West End,490795.6407,5459232.6988
Break and Enter Commercial,2023,7,15,5,16,11XX ROBSON ST,West End,490912.5973,5459102.9607
Break and Enter Commercial,2023,3,11,11,13,11XX SEYMOUR ST,Central Business District,490991.2159,5458304.6172
Break and Enter Commercial,2023,10,1,8,10,11XX SEYMOUR ST,Central Business District,490997.8219,5458311.1957
Break and Enter Commercial,2023,12,3,3,0,11XX SEYMOUR ST,Central Business District,491002.2259,5458315.5813
Break and Enter Commercial,2023,3,12,18,30,11XX STATION ST,Strathcona,492835.0141,5457933.8959
Break and Enter Commercial,2023,11,1,6,0,11XX SW MARINE DR,Marpole,490381.3834,5450118.9443
Break and Enter Commercial,2023,10,12,4,39,11XX THURLOW ST,West End,490498.4727,5458683.4054
Break and Enter Commercial,2023,2,1,16,30,11XX VENABLES ST,Strathcona,494098.4697,5458236.3704
Break and Enter Commercial,2023,4,26,11,0,11XX W 11TH AVE,Fairview,490560.7046,5456537.5467
Break and Enter Commercial,2023,9,29,10,44,11XX W 6TH AVE,Fairview,490492.5633,5457037.9957
Break and Enter Commercial,2023,2,10,2,45,11XX W 7TH AVE,Fairview,490496.1676,5456943.4365
Break and Enter Commercial,2023,7,24,16,30,11XX W 7TH AVE,Fairview,490613.7322,5456940.3917
Break and Enter Commercial,2023,3,6,0,36,11XX W BROADWAY AVE,Fairview,490562.7571,5456747.1147
Break and Enter Commercial,2023,9,3,22,0,11XX W CORDOVA ST,Central Business District,491145.5549,5459599.1245
Break and Enter Commercial,2023,9,5,19,0,11XX W CORDOVA ST,Central Business District,491269.7029,5459539.0856
Break and Enter Commercial,2023,10,16,3,30,11XX W GEORGIA ST,Central Business District,490915.2728,5459361.0787
Break and Enter Commercial,2023,1,28,11,0,11XX W PENDER ST,Central Business District,491035.8752,5459521.2951
Break and Enter Commercial,2023,7,18,18,0,11XX W PENDER ST,Central Business District,491052.646,5459503.6274
Break and Enter Commercial,2023,8,9,0,0,11XX W PENDER ST,Central Business District,491052.646,5459503.6274
Break and Enter Commercial,2023,5,26,23,0,11XX W PENDER ST,Central Business District,491081.0957,5459500.7397
Break and Enter Commercial,2023,2,18,23,49,11XX W PENDER ST,Central Business District,491093.4285,5459495.1337
Break and Enter Commercial,2023,7,6,5,32,11XX W PENDER ST,Central Business District,491097.8665,5459483.072
Break and Enter Commercial,2023,12,4,4,55,11XX W PENDER ST,Central Business District,491151.3089,5459458.7793
Break and Enter Commercial,2023,7,23,0,42,11XX W PENDER ST,Central Business District,491208.8622,5459432.618
Break and Enter Commercial,2023,7,25,0,34,11XX W PENDER ST,Central Business District,491208.8622,5459432.618
Break and Enter Commercial,2023,11,10,17,0,12XX ADANAC ST,Strathcona,494264.2578,5458334.4558
Break and Enter Commercial,2023,4,7,23,30,12XX BARCLAY ST,West End,490568.5327,5459141.9334
Break and Enter Commercial,2023,8,8,3,30,12XX BARCLAY ST,West End,490568.5327,5459141.9334
Break and Enter Commercial,2023,9,17,2,30,12XX BEACH AVE,West End,490015.3204,5458537.2774
Break and Enter Commercial,2023,2,28,2,14,12XX BURNABY ST,West End,490151.5668,5458788.482
Break and Enter Commercial,2023,11,16,3,20,12XX BURNABY ST,West End,490151.5668,5458788.482
Break and Enter Commercial,2023,12,6,10,19,12XX BURNABY ST,West End,490193.3363,5458732.4223
Break and Enter Commercial,2023,8,11,3,6,12XX BURNABY ST,West End,490194.7626,5458730.9551
Break and Enter Commercial,2023,6,14,2,36,12XX BURRARD ST,Central Business District,490513.5556,5458392.272
Break and Enter Commercial,2023,3,29,0,0,12XX BURRARD ST,Central Business District,490558.7319,5458436.9437
Break and Enter Commercial,2023,9,18,12,30,12XX BURRARD ST,Central Business District,490606.2267,5458483.9526
Break and Enter Commercial,2023,1,25,3,30,12XX BUTE ST,West End,490291.7177,5458788.7956
Break and Enter Commercial,2023,1,15,15,45,12XX CLARK DR,Strathcona,494372.4111,5457905.1306
Break and Enter Commercial,2023,7,27,16,2,12XX COMOX ST,West End,490394.9762,5458998.7633
Break and Enter Commercial,2023,1,13,3,45,12XX DAVIE ST,West End,490227.2734,5458858.7773
Break and Enter Commercial,2023,5,25,5,21,12XX DENMAN ST,West End,489685.2236,5459392.7285
Break and Enter Commercial,2023,3,21,19,55,12XX E 7TH AVE,Mount Pleasant,494282.422,5456829.6141
Break and Enter Commercial,2023,1,11,17,0,12XX FRANCES ST,Strathcona,494264.9017,5458533.4495
Break and Enter Commercial,2023,3,11,17,0,12XX FRANCES ST,Strathcona,494264.9017,5458533.4495
Break and Enter Commercial,2023,6,17,8,49,12XX FRANCES ST,Strathcona,494264.9017,5458533.4495
Break and Enter Commercial,2023,10,12,4,39,12XX FRANCES ST,Strathcona,494264.9017,5458533.4495
Break and Enter Commercial,2023,5,31,12,0,12XX FRANKLIN ST,Strathcona,494341.1801,5458833.441
Break and Enter Commercial,2023,1,25,4,49,12XX GRANVILLE ST,Central Business District,490711.4545,5458168.033
Break and Enter Commercial,2023,9,1,9,39,12XX GRANVILLE ST,Central Business District,490742.1811,5458199.5435
Break and Enter Commercial,2023,1,10,0,10,12XX GRANVILLE ST,Central Business District,490745.3188,5458189.6641
Break and Enter Commercial,2023,3,31,7,0,12XX HAMILTON ST,Central Business District,491034.7587,5457983.8264
Break and Enter Commercial,2023,9,8,7,0,12XX HARWOOD ST,West End,490114.9758,5458657.348
Break and Enter Commercial,2023,6,13,13,15,12XX HOMER ST,Central Business District,490958.088,5457992.6978
Break and Enter Commercial,2023,6,27,5,37,12XX HORNBY ST,Central Business District,490589.2185,5458328.2549
Break and Enter Commercial,2023,7,6,6,20,12XX HORNBY ST,Central Business District,490589.2185,5458328.2549
Break and Enter Commercial,2023,9,13,2,7,12XX HORNBY ST,Central Business District,490589.2185,5458328.2549
Break and Enter Commercial,2023,3,28,5,0,12XX HOWE ST,Central Business District,490650.5904,5458254.6229
Break and Enter Commercial,2023,7,26,0,34,12XX HOWE ST,Central Business District,490735.2885,5458339.4652
Break and Enter Commercial,2023,3,23,20,54,12XX MAIN ST,Central Business District,492717.8494,5457907.8665
Break and Enter Commercial,2023,6,3,3,0,12XX NELSON ST,West End,490492.7716,5459055.6417
Break and Enter Commercial,2023,12,22,1,30,12XX ODLUM DR,Grandview-Woodland,494481.1527,5457828.1824
Break and Enter Commercial,2023,10,13,4,15,12XX PACIFIC BLVD,Central Business District,491053.809,5457893.4716
Break and Enter Commercial,2023,2,10,1,30,12XX PACIFIC BLVD,Central Business District,491071.5187,5457900.6399
Break and Enter Commercial,2023,3,13,19,0,12XX PACIFIC BLVD,Central Business District,491121.7751,5457920.9827
Break and Enter Commercial,2023,2,14,13,19,12XX PACIFIC ST,West End,489987.3712,5458641.2618
Break and Enter Commercial,2023,1,13,4,34,12XX PENDRELL ST,West End,490309.5435,5458928.1325
Break and Enter Commercial,2023,3,9,4,40,12XX PENDRELL ST,West End,490309.5435,5458928.1325
Break and Enter Commercial,2023,8,14,1,8,12XX PENDRELL ST,West End,490316.1094,5458934.4966
Break and Enter Commercial,2023,9,11,21,0,12XX RICHARDS ST,Central Business District,490851.8218,5458026.6393
Break and Enter Commercial,2023,3,16,9,47,12XX RICHARDS ST,Central Business District,490922.1059,5458085.9277
Break and Enter Commercial,2023,3,16,5,0,12XX RICHARDS ST,Central Business District,490959.4601,5458124.4165
Break and Enter Commercial,2023,3,12,8,43,12XX ROBSON ST,West End,490740.7852,5459274.5699
Break and Enter Commercial,2023,7,29,1,15,12XX SEYMOUR ST,Central Business District,490827.6466,5458140.8548
Break and Enter Commercial,2023,1,26,5,10,12XX SEYMOUR ST,Central Business District,490840.7359,5458141.076
Break and Enter Commercial,2023,9,29,14,22,12XX SEYMOUR ST,Central Business District,490893.8986,5458194.753
Break and Enter Commercial,2023,3,12,0,0,12XX W 13TH AVE,Fairview,490318.032,5456333.8562
Break and Enter Commercial,2023,4,2,3,39,12XX W 13TH AVE,Fairview,490318.032,5456333.8562
Break and Enter Commercial,2023,5,1,4,14,12XX W 14TH AVE,Fairview,490281.2246,5456233.229
Break and Enter Commercial,2023,12,1,18,0,12XX W 77TH AVE,Marpole,490229.3201,5449799.0365
Break and Enter Commercial,2023,12,15,18,0,12XX W 77TH AVE,Marpole,490229.3201,5449799.0365
Break and Enter Commercial,2023,6,26,6,0,12XX W BROADWAY AVE,Fairview,490364.9676,5456761.5283
Break and Enter Commercial,2023,11,25,10,0,12XX W BROADWAY AVE,Fairview,490364.9676,5456761.5283
Break and Enter Commercial,2023,8,28,9,45,12XX W CORDOVA ST,Central Business District,490999.681,5459695.0485
Break and Enter Commercial,2023,9,12,2,0,12XX W CORDOVA ST,Central Business District,490999.681,5459695.0485
Break and Enter Commercial,2023,7,31,13,32,12XX W CORDOVA ST,Central Business District,491003.7164,5459691.5289
Break and Enter Commercial,2023,5,27,22,27,12XX W HASTINGS ST,Central Business District,490992.0884,5459600.4215
Break and Enter Commercial,2023,8,19,17,21,12XX W PENDER ST,Central Business District,490993.4363,5459530.9526
Break and Enter Commercial,2023,9,22,4,53,13XX ALBERNI ST,West End,490701.4385,5459483.7655
Break and Enter Commercial,2023,1,14,23,45,13XX ALBERNI ST,West End,490706.7634,5459466.0512
Break and Enter Commercial,2023,11,22,4,37,13XX BARCLAY ST,West End,490447.6802,5459259.5019
Break and Enter Commercial,2023,7,2,21,40,13XX BURRARD ST,Central Business District,490409.456,5458288.5075
Break and Enter Commercial,2023,8,12,22,27,13XX BURRARD ST,West End,490439.965,5458331.9993
Break and Enter Commercial,2023,3,13,4,0,13XX BUTE ST,West End,490171.0339,5458653.4215
Break and Enter Commercial,2023,3,13,4,40,13XX BUTE ST,West End,490171.0339,5458653.4215
Break and Enter Commercial,2023,3,20,9,48,13XX BUTE ST,West End,490171.0339,5458653.4215
Break and Enter Commercial,2023,2,10,6,0,13XX CARTWRIGHT ST,Fairview,490201.3941,5457481.6205
Break and Enter Commercial,2023,11,8,7,0,13XX COMMERCIAL DR,Grandview-Woodland,494933.4227,5457787.9212
